original_column_name,column_name,column_description,data_format,value_description
defect_date,defect date,date of the defect products produced,text,
fact_nm,factory name,factory name which should be used with subc_code when subl_code is '776',text,
plant_nm,plant name,,text,
line_cd,line code,grouped process line code which should be used with subc_code when subl_code is '706',text,
line_nm,line name,grouped process line name which should be used with subc_name when subl_code is '706',text,
item_cd,item code,,text,
item_type_nm,item type name,,text,
defect_qty,defect quantity,quantity of defective products,integer,
reg_id,registration id,account id who registrated this data,text,
reg_dts,registration datetimes,datetime when this data is registrated,text,
