original_column_name,column_name,column_description,data_format,value_description
item_cd,item code,unique code of each item,text,
item_nm,item name,item name,text,
item_alias,item alias,item alias which are optional,text,
item_tmp_weight,item temperature weight,not used,integer,
item_attr,item attr,not used,text,
lot_size,lot size,not used,integer,
item_type,item type,type code of the item,text,
type_nm,type name,type name of the item,text,
class_cd,class code,not used,text,
class_nm,class name,not used,text,
group_cd,group code,not used,text,
group_nm,group name,not used,text,
fact_cd,factory code,not used,text,
fact_nm,factory name,name of factory that produced the item,text,
corp_nm,corporation name,name of corporation that owns the factory,text,
item_uni,item unit,not used,text,
cust_cd,customer code,a unique identifier assigned to each customer,text,
cust_nm,customer name,the official name of the customer,text,
cust_alias,customer alias,a shortened name used to refer the customer,text,
ccenter_cd,cost center code,(optional),text,
reg_id,registration id,account id who registrated this data,text,
reg_dts,registration datetimes,datetime when this data is registrated,text,
